"label","est","se","pvalue","std.all"
"a",-0.347781553967395,0.022359399375392,0,-0.332434699759092
"b",0.0665142188005122,0.0204142566985093,0.00112111917945912,0.12686150413883
"c",0.0906681653831508,0.0204422493179205,0.00000919304414259692,0.165298912164794
"indirect",-0.0231324183753695,0.00741166887504532,0.00180188508085877,-0.0421731660393787
"direct",0.0906681653831508,0.0204422493179205,0.00000919304414259692,0.165298912164794
"total",0.0675357470077813,0.0173049009754274,0.0000951276233625009,0.123125746125415
"direct_div",0.0906681653831508,0.0204422493179205,0.00000919304414259692,0.165298912164794
"direct_dur",0.0847401086537836,0.019185258075718,0.0000100108610618932,0.0893325429159847
"indirect_div",-0.0231324183753695,0.00741166887504532,0.00180188508085877,-0.0421731660393787
"indirect_dur",-0.0216199769596074,0.00692932879654937,0.00180809302017515,-0.0227916573423049
"total_div",0.0675357470077813,0.0173049009754274,0.0000951276233625009,0.123125746125415
"total_dur",0.0631201316941763,0.0162406745814236,0.000101680591981568,0.0665408855736798
