"lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all"
"leisure_part","=~","hill_q1","",1,0,NA,NA,1,1,0.550212699834752,0.568570862772482
"leisure_part","=~","mean_leisure_duration","lam2",0.93461810212751,0.0962252316286373,9.71281737969193,0,0.746020113731357,1.12321609052366,0.514238749286009,0.540430313461017
"ak_ihs","~","female","s_female",0.115838284867653,0.0429836991487462,2.69493522339228,0.00704023162219491,0.0315917826138054,0.2000847871215,0.115838284867653,0.0576807794945779
"ak_ihs","~","edu_high","s_edu_high",0.0501399783527556,0.0493040630606903,1.01695428814936,0.309175175741097,-0.0464942095376891,0.1467741662432,0.0501399783527556,0.024083238481323
"ak_ihs","~","poverty_rate","s_poverty_rate",0.00281896018108509,0.0198314553853753,0.142145905396531,0.886964759023397,-0.0360499781352634,0.0416878984974336,0.00281896018108509,0.00302591419775
"ak_ihs","~","mode_pt","t_mode_pt",-0.422927523070076,0.106692133319283,-3.96399912451312,0.0000737045225880362,-0.632040261809617,-0.213814784330535,-0.422927523070076,-0.205831614938252
"ak_ihs","~","pt_sub","t_pt_sub",-0.313061402179616,0.0645112349313921,-4.8528198617273,0.00000121718243439872,-0.439501099243347,-0.186621705115885,-0.313061402179616,-0.149941345808972
"ak_ihs","~","active_mode","t_active_mode",0.334067780559518,0.0920677088660296,3.62850107463443,0.000285071563771222,0.153618387042981,0.514517174076055,0.334067780559518,0.161666357740115
"total_travel_time","~","ak_ihs","a",-0.347781553967395,0.022359399375392,-15.5541545695611,0,-0.391605171459111,-0.303957936475679,-0.347781553967395,-0.332434699759092
"total_travel_time","~","female","g_female",-0.247204859031941,0.0455580646660596,-5.42614926344987,0.0000000575828102977738,-0.336497024982765,-0.157912693081117,-0.247204859031941,-0.117661887478289
"total_travel_time","~","edu_high","g_edu_high",-0.0607988502403867,0.051775492176802,-1.17427855698159,0.240283469284702,-0.162276950188754,0.0406792497079805,-0.0607988502403867,-0.0279142469543547
"total_travel_time","~","poverty_rate","g_poverty_rate",0.0265970253328572,0.0210891876923757,1.26116879041637,0.20724804047598,-0.0147370230074044,0.0679310736731189,0.0265970253328572,0.0272898117884327
"total_travel_time","~","mode_pt","m_mode_pt",0.169027492550634,0.111465774995623,1.51640709946412,0.129416445002331,-0.0494414119496333,0.387496397050901,0.169027492550634,0.0786327179426815
"total_travel_time","~","pt_sub","m_pt_sub",0.130755308536419,0.0704462865702985,1.85609937588318,0.0634393947029444,-0.00731687598595387,0.268827493058792,0.130755308536419,0.059861971255642
"total_travel_time","~","active_mode","m_active_mode",-0.389081857262308,0.0967960136297684,-4.01960620765327,0.0000582954979004846,-0.578798557823702,-0.199365156700913,-0.389081857262308,-0.179980663399692
"leisure_part","~","ak_ihs","c",0.0906681653831508,0.0204422493179205,4.43533213850725,0.00000919304414259692,0.0506020929570381,0.130734237809263,0.164787482023555,0.165298912164794
"leisure_part","~","total_travel_time","b",0.0665142188005122,0.0204142566985093,3.25822388651404,0.00112111917945912,0.0265030109002784,0.106525426700746,0.12088819254897,0.12686150413883
"leisure_part","~","female","d_female",-0.00729874360872391,0.0333612379736073,-0.218779159649234,0.82682208180702,-0.0726855685166643,0.0580880812992165,-0.0132653128706698,-0.00662586033846942
"leisure_part","~","edu_high","d_edu_high",0.200127449096187,0.0367564431142352,5.4446902948202,0.0000000518955984851743,0.128086144392491,0.272168753799883,0.363727426059581,0.175247798587829
"leisure_part","~","poverty_rate","d_poverty_rate",-0.080402745550147,0.0154297176777137,-5.21090192507403,0.00000018792478195806,-0.110644436490087,-0.0501610546102072,-0.146130297563642,-0.157345278031903
"leisure_part","~","hh_6","d_hh_6",-0.27618084536705,0.0336420888024298,-8.20938458931548,0.000000000000000222044604925031,-0.34211812778451,-0.210243562949589,-0.501952872861707,-0.250750211173988
"leisure_part","~","mode_pt","r_mode_pt",0.00470836396471827,0.0804557098253176,0.0585211910371668,0.953333483412351,-0.15298192964351,0.162398657572946,0.00855735239505077,0.00417764302429638
"leisure_part","~","pt_sub","r_pt_sub",0.0470634404820338,0.0462306419163643,1.01801399528858,0.308671305123067,-0.043546952656208,0.137673833620275,0.085536812393041,0.0410951640148175
"leisure_part","~","active_mode","r_active_mode",0.242085655065094,0.0745720731631433,3.24633129798439,0.0011690271068725,0.095927077412847,0.388244232717341,0.439985582189943,0.213584280165426
"hill_q1","~~","hill_q1","",0.63373199976486,0.0616342165435458,10.2821457836998,0,0.512931155124168,0.754532844405553,0.63373199976486,0.676727174006156
