"lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all"
"leisure_part","=~","hill_q1","",1,0,NA,NA,1,1,0.54886242556539,0.567175572357255
"leisure_part","=~","mean_leisure_duration","lam2",0.939222300600422,0.0969243348283735,9.69026305172512,0,0.749254095111309,1.12919050608954,0.515503830052654,0.541759578108955
"ak_ihs","~","female","s_female",0.081858267773065,0.0430505882950741,1.90144365071153,0.0572439266531601,-0.00251933479854195,0.166235870344672,0.081858267773065,0.0400869280056167
"ak_ihs","~","edu_high","s_edu_high",-0.0255269538665845,0.0497201405605691,-0.513412745394143,0.607662631926003,-0.122976638671569,0.0719227309384001,-0.0255269538665845,-0.0120584406052261
"ak_ihs","~","poverty_rate","s_poverty_rate",-0.00453088020349938,0.0196204833971285,-0.230926023166304,0.817372273501065,-0.0429863210211374,0.0339245606141386,-0.00453088020349938,-0.00478323607642573
"ak_ihs","~","mode_pt","t_mode_pt",-0.486229943911971,0.108840982920851,-4.46734245560384,7.91972955149767e-06,-0.699554350478779,-0.272905537345164,-0.486229943911971,-0.23273180173822
"ak_ihs","~","pt_sub","t_pt_sub",-0.351911997744438,0.0669777023541937,-5.25416646697501,1.48696345458887e-07,-0.483185882125901,-0.220638113362975,-0.351911997744438,-0.165763316531685
"ak_ihs","~","active_mode","t_active_mode",0.286677366432597,0.0928631049465386,3.08709650186301,0.0020212196836018,0.104669025244818,0.468685707620376,0.286677366432597,0.136436571619172
"total_travel_time","~","ak_ihs","a",-0.33992120454067,0.0234907189555344,-14.4704470384285,0,-0.385962167664469,-0.29388024141687,-0.33992120454067,-0.330382108966074
"total_travel_time","~","female","g_female",-0.259795785972064,0.0453920736622382,-5.72337337803073,1.04429407343787e-08,-0.34876261553364,-0.170828956410488,-0.259795785972064,-0.123654689799499
"total_travel_time","~","edu_high","g_edu_high",-0.0871409755166157,0.0516977924335658,-1.685584072639,0.091875939102332,-0.188466786766632,0.0141848357334007,-0.0871409755166157,-0.0400085522777284
"total_travel_time","~","poverty_rate","g_poverty_rate",0.0240612265256233,0.0210399562308527,1.14359679562167,0.252790891203811,-0.0171763299231471,0.0652987829743937,0.0240612265256233,0.0246885317216909
"total_travel_time","~","mode_pt","m_mode_pt",0.150475694312836,0.112016624557582,1.34333358916278,0.179163980423956,-0.0690728554897697,0.370024244115442,0.150475694312836,0.0700033221477541
"total_travel_time","~","pt_sub","m_pt_sub",0.120098980163779,0.0708927819878272,1.69409320379614,0.0902475735642034,-0.0188483192962117,0.259046279623771,0.120098980163779,0.0549834437739234
"total_travel_time","~","active_mode","m_active_mode",-0.407460844417398,0.0964137209314543,-4.22617072011031,2.37701680632085e-05,-0.596428265058544,-0.218493423776252,-0.407460844417398,-0.188478378446094
"leisure_part","~","ak_ihs","c",0.0972137615505493,0.0203238594421577,4.78323331389013,1.72497705408503e-06,0.0573797290170658,0.137047794084033,0.177118631231512,0.180654788770387
"leisure_part","~","total_travel_time","b",0.0680520609134703,0.020423418173031,3.33206030141089,0.000862055749361934,0.0280228968531287,0.108081224973812,0.123987465243898,0.130114215743961
"leisure_part","~","female","d_female",-0.00398905062709784,0.0333745521345495,-0.119523720079178,0.904860448830339,-0.0694019708109693,0.0614238695567736,-0.0072678515440161,-0.00363020795825136
"leisure_part","~","edu_high","d_edu_high",0.2075553065211,0.0369072747620368,5.62369635415601,1.86914081989897e-08,0.135218377219984,0.279892235822217,0.378155429946393,0.182199729067076
"leisure_part","~","poverty_rate","d_poverty_rate",-0.0794604480575779,0.0154061626341704,-5.15770539000652,2.49994557055544e-07,-0.109655971960519,-0.0492649241546371,-0.144772978357417,-0.155887745580203
"leisure_part","~","hh_6","d_hh_6",-0.276455965231123,0.0336475072683137,-8.21623911175926,2.22044604925031e-16,-0.342403867646567,-0.210508062815678,-0.503688998106114,-0.251617492274919
"leisure_part","~","mode_pt","r_mode_pt",0.0125851578441135,0.0807813194462905,0.155792922551618,0.876196249493212,-0.145743318894241,0.170913634582468,0.0229295307128181,0.0111942352146771
"leisure_part","~","pt_sub","r_pt_sub",0.0523564835361664,0.0463902182229912,1.12861041706026,0.25906221433686,-0.03856667341585,0.143279640488183,0.0953909050746794,0.04582965144105
"leisure_part","~","active_mode","r_active_mode",0.245443269540845,0.0745218609269594,3.29357407997916,0.000989222704422588,0.0993831060631023,0.391503433018589,0.447185411331467,0.217075219918181
"hill_q1","~~","hill_q1","",0.635215931993358,0.0615731741931984,10.3164395910504,0,0.514534728160878,0.755897135825838,0.635215931993358,0.678311870121221
"mean_leisure_duration","~~","mean_leisure_duration","",0.639676870101903,0.0858252227118009,7.45325033702415,9.10382880192628e-14,0.471462524621644,0.807891215582162,0.639676870101903,0.706496559527207
"ak_ihs","~~","ak_ihs","",0.945850828810739,0.02321011766881,40.7516602159145,0,0.900359834102935,0.991341823518543,0.945850828810739,0.909184842696942
"total_travel_time","~~","total_travel_time","",0.911891029887853,0.105078196884864,8.67821352974899,0,0.705941548433111,1.11784051134259,0.911891029887853,0.828035601897355
"leisure_part","~~","leisure_part","",0.237306176402224,0.0304816043088551,7.78522593488574,6.88338275267597e-15,0.177563329765867,0.29704902303858,0.78773844375332,0.78773844375332
"female","~~","female","",0.249488719339539,0.000985565384028127,253.142737542026,0,0.247557046682434,0.251420391996643,0.249488719339539,1
"female","~~","edu_high","",-0.0121937586924853,0.00495830857644635,-2.45925772962372,0.0139224630072152,-0.0219118649265562,-0.00247565245841434,-0.0121937586924853,-0.0506681156850043
