"lhs","op","rhs","mi","epc","sepc.lv","sepc.all","sepc.nox"
"hill_q1","~~","total_travel_time",14.4898419787303,-0.114591402072406,-0.114591402072406,-0.150563558414326,-0.150563558414326
"mean_leisure_duration","~~","total_travel_time",14.4898090522925,0.10762667799887,0.10762667799887,0.140918541629624,0.140918541629624
"female","~","ak_ihs",8.37054466165361,0.482055518551248,0.482055518551248,0.984366517522192,0.984366517522192
"poverty_rate","~","ak_ihs",8.36998765836174,1.74359976781123,1.74359976781123,1.65161023720688,1.65161023720688
"mode_pt","~","ak_ihs",8.36988065146662,0.169416327471066,0.169416327471066,0.353949442185324,0.353949442185324
"ak_ihs","~","hh_6",8.3697854730225,0.127295090166902,0.127295090166902,0.0623454532990983,0.124803401483644
"hh_6","~","ak_ihs",8.36978400564402,0.0318342441282672,0.0318342441282672,0.0649982117743549,0.0649982117743549
"ak_ihs","~","leisure_part",8.3697599200798,-0.460452700828762,-0.252725186235009,-0.247778314476716,-0.247778314476716
"edu_high","~","ak_ihs",8.36967300553146,2.69263255442795,2.69263255442795,5.70013231783524,5.70013231783524
"active_mode","~","ak_ihs",8.36958491792896,-0.248169306364391,-0.248169306364391,-0.521447602601225,-0.521447602601225
"pt_sub","~","ak_ihs",8.36934968712946,0.305246498650781,0.305246498650781,0.648031828707761,0.648031828707761
"hill_q1","~~","ak_ihs",6.79081664839216,0.0740437048735195,0.0740437048735195,0.0955247974863764,0.0955247974863764
"mean_leisure_duration","~~","ak_ihs",6.79080198563886,-0.0695434237569712,-0.0695434237569712,-0.0894055377992417,-0.0894055377992417
"mode_pt","~","leisure_part",4.4855836620804,1.45284935145607,0.797414419021283,1.63337093255101,1.63337093255101
"active_mode","~","leisure_part",4.48550943843002,-2.12822464010148,-1.16810253811413,-2.40634750562861,-2.40634750562861
"hh_6","~","leisure_part",4.48299770103541,0.272921122020985,0.149796149020466,0.299862587207707,0.299862587207707
"poverty_rate","~","leisure_part",4.48286472957356,14.9478139473723,8.20429342005495,7.61932882741205,7.61932882741205
"female","~","leisure_part",4.48241933757528,4.13230067681309,2.26806457264113,4.54077474232035,4.54077474232035
"pt_sub","~","leisure_part",4.47971098911556,2.61604557078609,1.43584911737125,2.98860983118979,2.98860983118979
"edu_high","~","total_travel_time",1.8421881570582,-1.16010822231907,-1.16010822231907,-2.52678381102047,-2.52678381102047
