"lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all"
"leisure_part","=~","hill_q1","",1,0,NA,NA,1,1,0.555371300882722,0.573901732710826
"leisure_part","=~","mean_leisure_duration","lam2",0.917336274543187,0.0960686349066238,9.54875933685134,0,0.729045210082277,1.1056273390041,0.50946224013996,0.535410478203469
"ak_ihs","~","female","s_female",0.142171193036329,0.0422177466393038,3.36756943119202,0.000758339286951015,0.0594259301148566,0.224916455957801,0.142171193036329,0.0686953773015893
"ak_ihs","~","edu_high","s_edu_high",-0.0642196762749556,0.0498192406012865,-1.28905369692241,0.197379419355393,-0.161863593590613,0.0334242410407014,-0.0642196762749556,-0.0299320842199259
"ak_ihs","~","poverty_rate","s_poverty_rate",0.0132036488728939,0.020013640152252,0.659732501056697,0.509425505951778,-0.0260223650250647,0.0524296627708526,0.0132036488728939,0.0137527113039313
"ak_ihs","~","mode_pt","t_mode_pt",-0.427222604200889,0.112619379507545,-3.79350877325929,0.000148533380488702,-0.647952531996926,-0.206492676404853,-0.427222604200889,-0.201753986563708
"ak_ihs","~","pt_sub","t_pt_sub",-0.353870472934921,0.0712952955315307,-4.96344773237415,0.000000692526844092711,-0.493606684443861,-0.214134261425982,-0.353870472934921,-0.164461709392178
"ak_ihs","~","active_mode","t_active_mode",0.183418218776787,0.092673040813482,1.97919715557778,0.0477938130579751,0.00178239644455147,0.365054041109022,0.183418218776787,0.0861279624452158
"total_travel_time","~","ak_ihs","a",-0.260639554567636,0.0243724377854065,-10.6940289216247,0,-0.308408654842476,-0.212870454292796,-0.260639554567636,-0.256745739353762
"total_travel_time","~","female","g_female",-0.250332885038324,0.0450230622369296,-5.56010348032241,0.0000000269614741643665,-0.338576465496412,-0.162089304580237,-0.250332885038324,-0.119150736299903
"total_travel_time","~","edu_high","g_edu_high",-0.0953113716368073,0.051049462002901,-1.86703968851603,0.0618960456657536,-0.195366478592639,0.00474373531902457,-0.0953113716368073,-0.0437599167022173
"total_travel_time","~","poverty_rate","g_poverty_rate",0.0291223456140664,0.0208301476430924,1.39808637524102,0.162087130788059,-0.0117039935590466,0.0699486847871794,0.0291223456140664,0.0298802090797988
"total_travel_time","~","mode_pt","m_mode_pt",0.203064285447592,0.109238514713203,1.85890741906114,0.063040262316131,-0.0110392691149336,0.417167840010118,0.203064285447592,0.0944635732983269
