"label","est","se","pvalue","std.all"
"a",-0.260639554567636,0.0243724377854065,0,-0.256745739353762
"b",0.0553710294853096,0.0187993760055109,0.00322573582951269,0.104627305375513
"c",0.0671491500184583,0.0177783629853095,0.000158718948571224,0.124987298849858
"indirect",-0.0144318804610025,0.00521895127808323,0.00568733236634134,-0.026862614875228
"direct",0.0671491500184583,0.0177783629853095,0.000158718948571224,0.124987298849858
"total",0.0527172695574558,0.0159936810354866,0.00098026257559547,0.0981246839746304
"direct_div",0.0671491500184583,0.0177783629853095,0.000158718948571224,0.124987298849858
"direct_dur",0.0615983511166741,0.0163412758986484,0.000163578453265201,0.0669195094465626
"indirect_div",-0.0144318804610025,0.00521895127808323,0.00568733236634134,-0.026862614875228
"indirect_dur",-0.0132388874567487,0.00478884588404755,0.00570056187213375,-0.0143825254761414
"total_div",0.0527172695574558,0.0159936810354866,0.00098026257559547,0.0981246839746304
"total_dur",0.0483594636599255,0.0146984186747707,0.00100147027758513,0.0525369839704211
