primary,count,cumulative_count,cumulative_percent,tag
laboratory_equipment_supplier,18,2095374,99.85765080460418,Health services
goldsmith,18,2095392,99.85850861696342,Essential needs
emergency_service,18,2095410,99.85936642932269,Civic and utility
quarries,18,2095428,99.86022424168196,Other
video_and_video_game_rentals,18,2095446,99.86108205404123,Social & Leisure
israeli_restaurant,18,2095464,99.86193986640049,Social & Leisure
hotel_bar,18,2095482,99.86279767875975,Social & Leisure
chambers_of_commerce,17,2095499,99.86360783487685,Civic and utility
dialysis_clinic,17,2095516,99.86441799099393,Health services
yoga_instructor,17,2095533,99.86522814711101,Social & Leisure
sri_lankan_restaurant,17,2095550,99.8660383032281,Social & Leisure
infectious_disease_specialist,17,2095567,99.86684845934516,Health services
dental_hygienist,17,2095584,99.86765861546226,Health services
auto_security,17,2095601,99.86846877157934,Civic and utility
pig_farm,17,2095618,99.86927892769643,Other
b2b_tractor_dealers,17,2095635,99.87008908381351,Other
fabric_wholesaler,16,2095651,99.87085158368842,Essential needs
b2b_medical_support_services,16,2095667,99.87161408356332,Health services
drama_school,16,2095683,99.87237658343821,Education
bags_luggage_company,16,2095699,99.87313908331312,Essential needs
cuban_restaurant,16,2095715,99.87390158318802,Social & Leisure
gluten_free_restaurant,16,2095731,99.87466408306292,Social & Leisure
maternity_wear,16,2095747,99.87542658293782,Essential needs
hair_loss_center,16,2095763,99.87618908281273,Health services
industrial_cleaning_services,16,2095779,99.87695158268764,Civic and utility
cotton_mill,16,2095795,99.87771408256253,Other
payroll_services,16,2095811,99.87847658243744,Civic and utility
southern_restaurant,15,2095826,99.87919142607015,Social & Leisure
food_and_beverage_consultant,15,2095841,99.87990626970287,Other
palace,15,2095856,99.8806211133356,Social & Leisure
malaysian_restaurant,15,2095871,99.88133595696831,Social & Leisure
customs_broker,15,2095886,99.88205080060104,Civic and utility
badminton_court,15,2095901,99.88276564423376,Social & Leisure
bagel_restaurant,14,2095915,99.88343283162429,Essential needs
do_it_yourself_store,14,2095929,99.88410001901484,Essential needs
poultry_farming,14,2095943,99.88476720640537,Essential needs
aircraft_repair,14,2095957,99.88543439379592,Civic and utility
fur_clothing,14,2095971,99.88610158118647,Essential needs
boat_parts_and_supply_store,14,2095985,99.886768768577,Essential needs
b2b_truck_equipment_parts_and_accessories,14,2095999,99.88743595596755,Other
school_sports_team,14,2096013,99.88810314335808,Education
haunted_house,14,2096027,99.88877033074863,Social & Leisure
bathtub_and_sink_repairs,14,2096041,99.88943751813916,Essential needs
duty_free_shop,14,2096055,99.8901047055297,Essential needs
audio_visual_production_and_design,13,2096068,99.89072423667805,Social & Leisure
basketball_stadium,13,2096081,99.89134376782641,Social & Leisure
television_station,13,2096094,99.89196329897477,Social & Leisure
coffee_and_tea_supplies,13,2096107,99.89258283012313,Essential needs
digitizing_services,13,2096120,99.89320236127148,Civic and utility
dietitian,13,2096133,99.89382189241984,Health services
georgian_restaurant,13,2096146,99.8944414235682,Social & Leisure
eyelash_service,13,2096159,99.89506095471657,Social & Leisure
fertilizer_store,13,2096172,99.89568048586493,Essential needs
urgent_care_clinic,13,2096185,99.89630001701327,Health services
canadian_restaurant,13,2096198,99.89691954816163,Social & Leisure
onsen,13,2096211,99.89753907931,Social & Leisure
hockey_field,13,2096224,99.89815861045835,Social & Leisure
exhibition_and_trade_center,13,2096237,99.89877814160671,Social & Leisure
scientific_laboratories,13,2096250,99.89939767275507,Education
student_union,12,2096262,99.89996954766124,Social & Leisure
podiatry,12,2096274,99.90054142256743,Health services
quay,12,2096286,99.9011132974736,Civic and utility
aircraft_dealer,12,2096298,99.90168517237977,Other
engineering_schools,12,2096310,99.90225704728596,Education
tattoo_removal,12,2096322,99.90282892219213,Health services
carpet_installation,12,2096334,99.90340079709831,Essential needs
typing_services,12,2096346,99.90397267200449,Civic and utility
seafood_wholesaler,12,2096358,99.90454454691066,Essential needs
austrian_restaurant,12,2096370,99.90511642181684,Social & Leisure
baseball_stadium,12,2096382,99.90568829672301,Social & Leisure
musical_instrument_services,12,2096394,99.90626017162919,Social & Leisure
airport_lounge,12,2096406,99.90683204653537,Social & Leisure
chinese_martial_arts_club,12,2096418,99.90740392144154,Social & Leisure
horse_racing_track,12,2096430,99.90797579634773,Social & Leisure
proctologist,12,2096442,99.9085476712539,Health services
fort,11,2096453,99.90907188991788,Civic and utility
guitar_store,11,2096464,99.9095961085819,Social & Leisure
school_sports_league,11,2096475,99.91012032724589,Education
dui_law,11,2096486,99.91064454590988,Civic and utility
adoption_services,11,2096497,99.91116876457387,Civic and utility
roller_skating_rink,11,2096508,99.91169298323787,Social & Leisure
rafting_kayaking_area,11,2096519,99.91221720190187,Social & Leisure
formal_wear_store,11,2096530,99.91274142056587,Essential needs
corporate_entertainment_services,11,2096541,99.91326563922985,Social & Leisure
hematology,11,2096552,99.91378985789385,Health services
boat_charter,11,2096563,99.91431407655784,Social & Leisure
asian_grocery_store,11,2096574,99.91483829522184,Essential needs
tax_office,11,2096585,99.91536251388584,Civic and utility
matchmaker,11,2096596,99.91588673254984,Social & Leisure
mongolian_restaurant,11,2096607,99.91641095121383,Social & Leisure
jet_skis_rental,11,2096618,99.91693516987782,Social & Leisure
ceiling_and_roofing_repair_and_service,11,2096629,99.91745938854181,Essential needs
meat_shop,11,2096640,99.91798360720581,Essential needs
climbing_service,11,2096651,99.91850782586981,Social & Leisure
design_museum,10,2096661,99.91898438829162,Social & Leisure
wind_energy,10,2096671,99.91946095071343,Civic and utility
sports_psychologist,10,2096681,99.91993751313525,Health services
fastener_supplier,10,2096691,99.92041407555706,Essential needs
home_automation,10,2096701,99.92089063797887,Civic and utility
knife_sharpening,10,2096711,99.9213672004007,Other
